backbone_name,mIoU_boundary,mIoU_interior,delta
CNN_DeepLabv3p-resnet50,0.2786983847618103,0.5504562258720398,0.2717578411102295
TransformerUNetFormer-resnet18,0.27652329206466675,0.5127993822097778,0.23627609014511108
